Date,Close,Volume,Open,High,Low,Daily_Return,5_day_mean_close_price,5_day_mean_volume,Daily_Range,Volatility,Quarter,EMA_Close_5,EMA_Close_20
2023-07-21,191.94,71904040,194.1,194.97,191.23,0.0,0.0,0.0,3.740000000000009,0.0,2023Q3,191.94,191.94
2023-07-20,193.13,59581200,195.09,196.47,192.495,0.006199854121079484,0.0,0.0,3.9749999999999943,0.0,2023Q3,192.33666666666667,192.05333333333334
2023-07-19,195.1,80507320,193.1,198.23,192.65,0.010200383161600879,0.0,0.0,5.579999999999984,0.0,2023Q3,193.2577777777778,192.34349206349205
2023-07-18,193.73,48353770,193.35,194.33,192.415,-0.007022039979497685,0.0,0.0,1.9150000000000205,0.0,2023Q3,193.4151851851852,192.4755404383976
2023-07-17,193.99,50520160,191.9,194.32,191.81,0.0013420740205440929,193.578,62173298.0,2.509999999999991,0.0,2023Q3,193.60679012345682,192.61977468235972
2023-07-14,190.69,41616240,190.23,191.1799,189.63,-0.017011186143615742,193.32800000000003,56115738.0,1.549900000000008,0.010897953340822128,2023Q3,192.63452674897124,192.4359866173731
2023-07-13,190.54,41342340,190.5,191.19,189.78,-0.0007866170223923552,192.81,52467966.0,1.4099999999999966,0.010122986831247058,2023Q3,191.93635116598082,192.25541646333755
2023-07-12,189.77,60750250,189.68,191.7,188.47,-0.004041146216017588,191.744,48516552.0,3.2299999999999898,0.007176039139619104,2023Q3,191.2142341106539,192.0187101334959
2023-07-11,188.08,46638120,189.16,189.3,186.6,-0.008905517205037627,190.614,48173422.0,2.700000000000017,0.007323580830621631,2023Q3,190.16948940710262,191.64359488268676
2023-07-10,188.61,59922160,189.26,189.99,187.035,0.0028179498085920685,189.538,50053822.0,2.9550000000000125,0.007707157274722194,2023Q3,189.6496596047351,191.35468108433562
2023-07-07,190.68,46815000,191.41,192.67,190.24,0.010975027835215423,189.536,51093574.0,2.4299999999999784,0.007494151555124887,2023Q3,189.99310640315673,191.2904257429703
2023-07-06,191.81,45156010,189.84,192.02,189.2,0.0059261590098593775,189.79000000000002,51856308.0,2.8200000000000216,0.007905334566114216,2023Q3,190.5987376021045,191.33990900554457
2023-07-05,191.33,46920260,191.565,192.98,190.62,-0.002502476408946297,190.102,49090310.0,2.359999999999985,0.007669208610720123,2023Q3,190.84249173473637,191.3389652907308
2023-07-03,192.46,31346600,193.78,193.88,191.76,0.005906026237390893,190.978,46032006.0,2.1200000000000045,0.004942753427536953,2023Q3,191.38166115649094,191.4457305011374
2023-06-30,193.97,85213220,191.63,194.48,191.26,0.007845786137379074,192.05,51090218.0,3.219999999999999,0.0049944995719311,2023Q2,192.24444077099398,191.6861371200767
2023-06-29,189.59,46347310,189.08,190.07,188.94,-0.022580811465690576,191.83200000000002,50996680.0,1.1299999999999955,0.01266756499880051,2023Q2,191.35962718066267,191.4865050134027
2023-06-28,189.25,51216800,187.93,189.9,187.6,-0.0017933435307769807,191.32,52208838.0,2.3000000000000114,0.012055671349603307,2023Q2,190.6564181204418,191.27350453593579
2023-06-27,188.06,50730850,185.89,188.39,185.67,-0.006287978863936616,190.666,52970956.0,2.719999999999999,0.012164430906771748,2023Q2,189.79094541362787,190.96745648489429
2023-06-26,185.27,48088660,186.83,188.05,185.23,-0.014835690736998752,189.228,56319368.0,2.8200000000000216,0.011734209446955654,2023Q2,188.28396360908525,190.42484158157103
2023-06-23,186.68,53117000,185.55,187.56,185.01,0.007610514384411848,187.77,49900124.0,2.5500000000000114,0.011657356040992772,2023Q2,187.74930907272352,190.0681900023738
2023-06-22,187.0,51245330,183.74,187.045,183.67,0.0017141632740518276,187.252,50879728.0,3.375,0.008467001344315243,2023Q2,187.49953938181568,189.77598143071913
2023-06-21,183.96,49515700,184.9,185.41,182.5901,-0.01625668449197859,186.19400000000002,50539508.0,2.81989999999999,0.010336226068970425,2023Q2,186.31969292121047,189.22207843731732
2023-06-20,185.01,49799090,184.41,186.1,184.41,0.005707762557077611,185.584,50353156.0,1.6899999999999977,0.011469852288955978,2023Q2,185.88312861414033,188.82092810995377
2023-06-16,184.92,101256200,186.73,186.99,184.27,-0.0004864601913410205,185.514,60986664.0,2.719999999999999,0.009452089326806351,2023Q2,185.56208574276022,188.44941114710105
2023-06-15,186.01,65433170,183.96,186.52,183.78,0.0058944408392818115,185.38,63449898.0,2.740000000000009,0.00911632073022643,2023Q2,185.71139049517348,188.2170862759486
2023-06-14,183.95,57462880,183.37,184.39,182.02,-0.011074673404655622,184.76999999999998,64693408.0,2.369999999999976,0.010023704148912021,2023Q2,185.12426033011565,187.81069710681064
2023-06-13,183.31,54929130,182.8,184.15,182.44,-0.0034792063060613554,184.64,65776094.0,1.710000000000008,0.007070161609664415,2023Q2,184.51950688674378,187.3820592871144
2023-06-12,183.79,54755000,181.27,183.89,180.97,0.0026185150837378934,184.396,66767276.0,2.9199999999999875,0.006482083322267579,2023Q2,184.27633792449586,187.0399584026273
2023-06-09,180.96,48899970,181.5,182.23,180.63,-0.015398008596767987,183.60399999999998,56296030.0,1.5999999999999943,0.008965592924905829,2023Q2,183.1708919496639,186.46091474523422
2023-06-08,180.57,50214880,177.895,180.84,177.46,-0.0021551724137931494,182.516,53252372.0,3.3799999999999955,0.0072359944185223036,2023Q2,182.30392796644261,185.89987524568812
2023-06-07,177.82,61944620,178.44,181.21,177.32,-0.01522955086669986,181.29,54148720.0,3.890000000000015,0.008158862829357462,2023Q2,180.80928531096174,185.13036331752735
2023-06-06,179.21,64848370,179.965,180.12,177.43,0.007816893487796683,180.47,56132568.0,2.6899999999999977,0.010509073814303315,2023Q2,180.27619020730782,184.56651919204856
2023-06-05,179.58,121946500,182.63,184.951,178.035,0.00206461692985882,179.62800000000001,69570868.0,6.915999999999997,0.01041820443357387,2023Q2,180.0441268048719,184.09161260232966
2023-06-02,180.95,61996910,181.03,181.78,179.26,0.007628911905557256,179.626,72190256.0,2.5200000000000102,0.009488777468858624,2023Q2,180.34608453658126,183.79241140210777
2023-06-01,180.09,68901810,177.7,180.12,176.9306,-0.004752694114396161,179.53,75927642.0,3.1894000000000062,0.009706597025031228,2023Q2,180.26072302438752,183.4398007923832
2023-05-31,177.25,99625290,177.325,179.35,176.76,-0.015769892831362098,179.416,83463776.0,2.5900000000000034,0.009912489064866222,2023Q2,179.25714868292502,182.8502959550134
2023-05-30,177.3,55964400,176.96,178.99,176.57,0.0002820874471085588,179.034,81686982.0,2.420000000000016,0.008825707003989375,2023Q2,178.6047657886167,182.32169634025024
2023-05-26,175.43,54834980,173.32,175.77,173.11,-0.010547095318668931,178.204,68264678.0,2.6599999999999966,0.009131453776204222,2023Q2,177.54651052574448,181.66534430784543
